dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,swin,dwin,smean,dmean,src,dst,sport,dport,proto
71.68785738945007,37,23,21671,6272,0.8369618256833253,128,249,2418.373296584446,699.9232760914422,253,425,585.7027027027027,272.69565217391306,192.168.1.11,52.11.50.165,53335,443,6
60.936588764190674,12,13,2714,5356,0.4102625451638544,128,249,356.3048152239043,703.1571814072333,254,120,226.16666666666666,412.0,192.168.1.11,52.11.50.165,61966,443,6
0.4640085697174072,20,19,5757,13543,84.05017179693894,128,52,99256.78749435436,233495.68751711675,255,63,287.85,712.7894736842105,192.168.1.11,20.247.185.124,61968,443,6
0.41150426864624023,2,0,136,0,4.860216897821172,1,0,2643.957992414718,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,58844,5355,17
0.43579697608947754,2,0,130,0,4.589292972949315,1,0,2386.432345933644,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,50183,5355,17
0.4153571128845215,2,0,136,0,4.815133623475576,1,0,2619.4326911707135,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,54945,5355,17
0.41394877433776855,2,0,130,0,4.83151569466435,1,0,2512.3881612254618,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,53647,5355,17
0.001,1,0,46,0,1000.0,1,0,368000.0,0.0,0,0,46.0,0.0,192.168.1.13,224.0.0.251,0,0,2
39.98916459083557,5,0,569,0,0.12503386982847509,255,0,113.83083509184372,0.0,0,0,113.8,0.0,192.168.1.13,224.0.0.251,5353,5353,17
11.085189819335938,8,11,2390,1237,1.7139986152387061,128,249,1724.82386965074,892.722647179065,253,208,298.75,112.45454545454545,192.168.1.11,44.249.218.223,59184,443,6
10.69751262664795,5,10,346,4021,1.4021951198855682,128,249,258.75173945621685,3007.0541744319303,254,176,69.2,402.1,192.168.1.11,44.249.218.223,55643,443,6
0.4202909469604492,2,0,136,0,4.758608327074451,1,0,2588.6829299285014,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,59095,5355,17
0.43239808082580566,2,0,130,0,4.625367430355716,1,0,2405.1910637849724,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,51084,5355,17
0.43279004096984863,2,0,136,0,4.62117842526634,1,0,2513.9210633448893,0.0,0,0,68.0,0.0,192.168.1.11,224.0.0.252,56525,5355,17
0.4043307304382324,2,0,130,0,4.946445692693967,1,0,2572.1517602008626,0.0,0,0,65.0,0.0,192.168.1.10,224.0.0.252,49665,5355,17
